<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20050401,00:00:00,1.8902,1.8759,1.8974,1.8811
GBPUSD,20050404,00:00:00,1.8779,1.8708,1.8800,1.8760
GBPUSD,20050405,00:00:00,1.8759,1.8717,1.8815,1.8795
GBPUSD,20050406,00:00:00,1.8794,1.8743,1.8846,1.8806
GBPUSD,20050407,00:00:00,1.8805,1.8680,1.8857,1.8707
GBPUSD,20050408,00:00:00,1.8704,1.8671,1.8850,1.8849
GBPUSD,20050411,00:00:00,1.8850,1.8813,1.8931,1.8904
GBPUSD,20050412,00:00:00,1.8905,1.8829,1.8968,1.8917
GBPUSD,20050413,00:00:00,1.8917,1.8872,1.8953,1.8942
GBPUSD,20050414,00:00:00,1.8942,1.8761,1.8946,1.8798
GBPUSD,20050415,00:00:00,1.8798,1.8770,1.8947,1.8920
GBPUSD,20050418,00:00:00,1.8935,1.8883,1.9054,1.9038
GBPUSD,20050419,00:00:00,1.9039,1.9000,1.9201,1.9173
GBPUSD,20050420,00:00:00,1.9169,1.9097,1.9213,1.9193
GBPUSD,20050421,00:00:00,1.9194,1.9063,1.9213,1.9072
GBPUSD,20050422,00:00:00,1.9073,1.9056,1.9166,1.9138
GBPUSD,20050425,00:00:00,1.9166,1.9078,1.9172,1.9109
GBPUSD,20050426,00:00:00,1.9109,1.9020,1.9130,1.9055
GBPUSD,20050427,00:00:00,1.9056,1.8990,1.9092,1.9034
GBPUSD,20050428,00:00:00,1.9034,1.9014,1.9103,1.9069
GBPUSD,20050429,00:00:00,1.9068,1.9052,1.9158,1.9070
GBPUSD,20050502,00:00:00,1.9063,1.8924,1.9067,1.8946
GBPUSD,20050503,00:00:00,1.8946,1.8885,1.8954,1.8922
GBPUSD,20050504,00:00:00,1.8922,1.8919,1.9029,1.9022
GBPUSD,20050505,00:00:00,1.9022,1.8997,1.9075,1.9031
GBPUSD,20050506,00:00:00,1.9028,1.8895,1.9030,1.8901
GBPUSD,20050509,00:00:00,1.8902,1.8804,1.8908,1.8855
GBPUSD,20050510,00:00:00,1.8850,1.8762,1.8852,1.8822
GBPUSD,20050511,00:00:00,1.8818,1.8694,1.8909,1.8718
GBPUSD,20050512,00:00:00,1.8716,1.8600,1.8734,1.8640
GBPUSD,20050513,00:00:00,1.8640,1.8483,1.8656,1.8506
GBPUSD,20050516,00:00:00,1.8505,1.8331,1.8505,1.8375
GBPUSD,20050517,00:00:00,1.8376,1.8320,1.8421,1.8350
GBPUSD,20050518,00:00:00,1.8351,1.8291,1.8409,1.8390
GBPUSD,20050519,00:00:00,1.8393,1.8320,1.8431,1.8350
GBPUSD,20050520,00:00:00,1.8350,1.8232,1.8389,1.8264
GBPUSD,20050523,00:00:00,1.8248,1.8241,1.8312,1.8289
GBPUSD,20050524,00:00:00,1.8289,1.8262,1.8357,1.8273
GBPUSD,20050525,00:00:00,1.8274,1.8247,1.8332,1.8313
GBPUSD,20050526,00:00:00,1.8313,1.8189,1.8324,1.8202
GBPUSD,20050527,00:00:00,1.8203,1.8197,1.8270,1.8241
GBPUSD,20050530,00:00:00,1.8239,1.8194,1.8254,1.8229
GBPUSD,20050531,00:00:00,1.8229,1.8103,1.8254,1.8171
GBPUSD,20050601,00:00:00,1.8171,1.8076,1.8223,1.8114
GBPUSD,20050602,00:00:00,1.8115,1.8087,1.8203,1.8158
GBPUSD,20050603,00:00:00,1.8158,1.8099,1.8234,1.8127
GBPUSD,20050606,00:00:00,1.8132,1.8125,1.8245,1.8238
GBPUSD,20050607,00:00:00,1.8238,1.8204,1.8353,1.8345
GBPUSD,20050608,00:00:00,1.8345,1.8220,1.8399,1.8234
GBPUSD,20050609,00:00:00,1.8233,1.8172,1.8282,1.8202
GBPUSD,20050610,00:00:00,1.8202,1.8106,1.8260,1.8122
GBPUSD,20050613,00:00:00,1.8117,1.7999,1.8125,1.8075
GBPUSD,20050614,00:00:00,1.8075,1.8029,1.8152,1.8060
GBPUSD,20050615,00:00:00,1.8060,1.8045,1.8245,1.8226
GBPUSD,20050616,00:00:00,1.8226,1.8167,1.8286,1.8229
GBPUSD,20050617,00:00:00,1.8229,1.8190,1.8299,1.8292
GBPUSD,20050620,00:00:00,1.8241,1.8211,1.8285,1.8250
GBPUSD,20050621,00:00:00,1.8251,1.8164,1.8296,1.8286
GBPUSD,20050622,00:00:00,1.8285,1.8178,1.8327,1.8215
GBPUSD,20050623,00:00:00,1.8215,1.8138,1.8229,1.8147
GBPUSD,20050624,00:00:00,1.8147,1.8124,1.8244,1.8236
GBPUSD,20050627,00:00:00,1.8227,1.8220,1.8312,1.8289
GBPUSD,20050628,00:00:00,1.8289,1.8141,1.8289,1.8164
GBPUSD,20050629,00:00:00,1.8164,1.7995,1.8178,1.8065
GBPUSD,20050630,00:00:00,1.8065,1.7872,1.8101,1.7904
GBPUSD,20050701,00:00:00,1.7901,1.7673,1.7913,1.7677
GBPUSD,20050704,00:00:00,1.7600,1.7570,1.7650,1.7578
GBPUSD,20050705,00:00:00,1.7578,1.7503,1.7617,1.7561
GBPUSD,20050706,00:00:00,1.7562,1.7516,1.7605,1.7521
GBPUSD,20050707,00:00:00,1.7523,1.7400,1.7539,1.7436
GBPUSD,20050708,00:00:00,1.7436,1.7309,1.7437,1.7358
GBPUSD,20050711,00:00:00,1.7366,1.7356,1.7588,1.7576
GBPUSD,20050712,00:00:00,1.7576,1.7549,1.7786,1.7777
GBPUSD,20050713,00:00:00,1.7777,1.7525,1.7783,1.7632
GBPUSD,20050714,00:00:00,1.7633,1.7546,1.7644,1.7564
GBPUSD,20050715,00:00:00,1.7564,1.7509,1.7634,1.7519
GBPUSD,20050718,00:00:00,1.7500,1.7454,1.7556,1.7478
GBPUSD,20050719,00:00:00,1.7478,1.7340,1.7489,1.7397
GBPUSD,20050720,00:00:00,1.7397,1.7272,1.7453,1.7403
GBPUSD,20050721,00:00:00,1.7405,1.7397,1.7613,1.7527
GBPUSD,20050722,00:00:00,1.7527,1.7356,1.7568,1.7375
GBPUSD,20050725,00:00:00,1.7377,1.7331,1.7472,1.7468
GBPUSD,20050726,00:00:00,1.7469,1.7348,1.7469,1.7376
GBPUSD,20050727,00:00:00,1.7376,1.7335,1.7472,1.7431
